accuracy	nps
0.9465509493	smart home
0.9447106208	electric vehicle
0.9427583676	path planning
0.9423766101	fuzzy logic
0.9421097930	remote sensing
0.9396669436	smart city
0.9392086107	solar cells
0.9385946039	cognitive radio
0.9380588645	pose estimation
0.9378884438	indoor localization
0.9378103401	change detection
0.9375903890	hyperspectral images
0.9372410657	cloud computing
0.9367006034	image segmentation
0.9362535996	pid controller
0.9359516412	object tracking
0.9351097816	compressive sensing
0.9349852273	convolutional neural network
0.9349841139	demand response
0.9347706732	image processing
0.9347568537	buck converter
0.9346947251	feature selection
0.9339799190	resource allocation
0.9335377124	induction motor
0.9334939760	optical fibers
0.9334681933	transmission line
0.9329174757	feature extraction
0.9328276224	electric vehicles
0.9326584065	pedestrian detection
0.9320945565	data mining
0.9320362548	random access
0.9319155736	compressed sensing
0.9316010339	autonomous vehicles
0.9314995266	transmission lines
0.9314574864	boost converter
0.9314263064	dc microgrid
0.9312584264	power electronics
0.9312564743	reactive power
0.9310610499	spectrum sensing
0.9310529729	smart cities
0.9309612801	signal processing
0.9308327782	voltage stability
0.9306511346	smart grid
0.9305532219	energy consumption
0.9305062982	power plant
0.9300980351	particle filter
0.9300413895	state estimation
0.9299438211	sliding mode
0.9299228974	image retrieval
0.9294730051	electric vehicle charging
0.9292170482	heat transfer
0.9292027676	image reconstruction
0.9292023839	wavelet transform
0.9291163811	image registration
0.9289774372	video streaming
0.9288579379	trajectory tracking
0.9285806628	sentiment analysis
0.9283212229	recurrent neural networks
0.9281885380	parameter estimation
0.9280924838	cellular networks
0.9280508404	social media
0.9279741492	emotion recognition
0.9279122307	gesture recognition
0.9275537101	visible light communication
0.9273738275	energy storage
0.9272939201	smart grids
0.9272016080	magnetic field
0.9271597223	target tracking
0.9269491547	activity recognition
0.9269019053	patch antenna
0.9268294985	renewable energy sources
0.9267030374	edge computing
0.9266937468	channel estimation
0.9263812928	object recognition
0.9258378941	object detection
0.9255044337	underwater acoustic
0.9251988391	energy efficiency
0.9249100620	deep learning
0.9248811450	fault diagnosis
0.9247961066	electric field
0.9245478460	pattern recognition
0.9244019179	mobile robots
0.9243569308	antenna arrays
0.9242576245	electromagnetic field
0.9240352049	motor imagery
0.9239625239	synthetic aperture radar
0.9238676559	pressure sensor
0.9232029051	heart rate
0.9231346628	fault detection
0.9230769208	technical program committee
0.9228566648	cloud storage
0.9227453043	renewable energy
0.9227100459	extended kalman filter
0.9221329460	health monitoring
0.9217717957	face recognition
0.9217629320	motion planning
0.9215898695	power supply
0.9215855608	grid connected
0.9214334622	power amplifier
0.9213057271	image denoising
0.9210999607	genetic algorithm
0.9210351885	induction machine
0.9207191772	induction motor drive
0.9202713196	software engineering
0.9199036263	big data analytics
0.9198925266	medium voltage
0.9196295082	reinforcement learning
0.9194533611	principal component analysis
0.9194491460	indoor positioning
0.9194085042	access control
0.9193486773	noise reduction
0.9192578430	power factor correction
0.9191015617	routing protocols
0.9189274165	doa estimation
0.9188678235	speech recognition
0.9185693007	power converters
0.9185579043	wind power
0.9179818858	image enhancement
0.9179779282	condition monitoring
0.9179408502	silicon photonic
0.9178962898	image compression
0.9176813614	cyber security
0.9176764606	fog computing
0.9175961901	higher education
0.9175713248	electricity market
0.9174027756	human body
0.9172417903	engineering education
0.9171540158	artificial neural networks
0.9169863700	anomaly detection
0.9169698868	artificial neural network
0.9169501789	synchronous machine
0.9169143738	differential evolution
0.9168553383	transfer learning
0.9167323090	wireless communications
0.9156530665	low voltage
0.9156449121	power consumption
0.9155615495	frequency selective surface
0.9155590069	optical fiber
0.9155182218	genetic algorithms
0.9154964597	sparse representation
0.9154729506	spatial modulation
0.9152835193	induction machines
0.9151800516	big data
0.9150331615	particle swarm optimization
0.9149329522	outlier detection
0.9145411275	recurrent neural network
0.9142805884	electromagnetic interference
0.9142044704	dipole antenna
0.9140763842	solar cell
0.9140668535	face detection
0.9137989538	power quality
0.9137618902	iot devices
0.9136517010	magnetic resonance
0.9136434939	action recognition
0.9135219105	fuel cell
0.9135206212	spectral efficiency
0.9134315960	deep reinforcement learning
0.9133857795	multilevel inverter
0.9132688934	brushless dc motor
0.9132176481	fiber laser
0.9129651756	disturbance observer
0.9128903559	matrix converter
0.9128553114	energy management
0.9128197962	reactive power compensation
0.9127844073	dc motor
0.9126329670	parameter identification
0.9125983732	charging station
0.9125013359	humanoid robot
0.9123764747	high frame rate
0.9122918472	mobile robot
0.9122327865	kalman filter
0.9121561152	fading channels
0.9120811378	electric drive
0.9119001053	induction motors
0.9118809885	antenna array
0.9116751962	deep neural networks
0.9115367571	speech enhancement
0.9114718735	relay selection
0.9114157604	motor drive
0.9113858740	microstrip antenna
0.9107567800	wind turbines
0.9107022957	resource management
0.9105667607	phase noise
0.9105112686	induction heating
0.9104700503	routing protocol
0.9104379010	scheduling problem
0.9103693713	wireless communication
0.9102925572	bp neural network
0.9100948558	phased array
0.9100106235	networked control systems
0.9099373149	machine learning
0.9098715042	source code
0.9098525485	sliding mode observer
0.9097917773	human activity recognition
0.9097045428	convolution neural network
0.9095599335	virtual reality
0.9095153487	risk management
0.9094955932	microstrip patch antenna
0.9094634216	magnetic resonance imaging
